Codes,Names,violence_year_minus_3,violence_year_minus_2,violence_year_minus_1,violence_now,violence_2012
E01002942,Kingston upon Thames 018C,1,9,12,12,12
E01002943,Kingston upon Thames 020B,23,16,8,14,11
E01002944,Kingston upon Thames 019A,11,12,12,5,8
E01002945,Kingston upon Thames 019B,9,5,10,15,13
E01002946,Kingston upon Thames 019C,8,7,7,8,7
E01002947,Kingston upon Thames 019D,6,3,9,15,7
E01002948,Kingston upon Thames 020C,51,42,37,35,47
E01002949,Kingston upon Thames 020D,9,7,15,14,15
E01002950,Kingston upon Thames 020E,25,24,28,18,21
E01002951,Kingston upon Thames 003C,7,7,4,4,14
E01002952,Kingston upon Thames 002A,8,9,8,5,9
E01002953,Kingston upon Thames 002B,7,5,2,6,7
E01002954,Kingston upon Thames 003D,31,36,32,27,28
E01002955,Kingston upon Thames 002C,12,13,10,8,13
E01002956,Kingston upon Thames 002D,15,10,7,8,12
E01002957,Kingston upon Thames 003E,17,17,18,41,35
E01002958,Kingston upon Thames 008C,10,13,11,9,6
E01002959,Kingston upon Thames 002E,3,4,3,4,1
E01002960,Kingston upon Thames 006B,9,5,8,14,14
E01002961,Kingston upon Thames 008D,15,8,9,10,8
E01002962,Kingston upon Thames 006C,16,14,13,19,14
E01002963,Kingston upon Thames 007D,15,16,10,12,9
E01002964,Kingston upon Thames 005A,188,165,175,147,122
E01002965,Kingston upon Thames 009A,39,33,41,32,28
E01002966,Kingston upon Thames 010C,11,11,8,13,28
E01002967,Kingston upon Thames 009B,5,8,13,8,16
E01002968,Kingston upon Thames 009C,518,447,507,548,492
E01002969,Kingston upon Thames 005B,48,57,48,35,39
E01002970,Kingston upon Thames 006D,28,26,32,33,30
E01002971,Kingston upon Thames 005C,27,24,33,20,33
E01002972,Kingston upon Thames 005D,66,42,38,41,52
E01002973,Kingston upon Thames 006E,39,22,31,34,17
E01002974,Kingston upon Thames 005E,29,33,31,13,34
E01002975,Kingston upon Thames 012A,17,8,11,22,21
E01002976,Kingston upon Thames 015A,11,9,7,7,18
E01002977,Kingston upon Thames 012B,29,24,15,21,21
E01002978,Kingston upon Thames 015B,13,17,11,11,18
E01002979,Kingston upon Thames 015C,10,2,13,7,6
E01002980,Kingston upon Thames 012C,7,8,6,7,9
E01002981,Kingston upon Thames 012D,10,10,6,8,9
E01002982,Kingston upon Thames 015D,7,8,6,18,7
E01002983,Kingston upon Thames 015E,7,12,12,9,12
E01002984,Kingston upon Thames 012E,18,25,20,10,18
E01002985,Kingston upon Thames 007E,17,29,12,16,25
E01002986,Kingston upon Thames 008E,4,10,6,3,11
E01002987,Kingston upon Thames 011B,55,80,59,64,72
E01002988,Kingston upon Thames 011C,24,15,21,15,10
E01002989,Kingston upon Thames 011D,7,10,15,9,10
E01002990,Kingston upon Thames 009D,16,14,14,18,9
E01002991,Kingston upon Thames 009E,10,8,8,8,7
E01002992,Kingston upon Thames 010D,10,3,9,10,12
E01002993,Kingston upon Thames 013C,2,8,6,2,8
E01002994,Kingston upon Thames 016A,11,8,5,4,2
E01002995,Kingston upon Thames 013D,5,14,1,10,12
E01002996,Kingston upon Thames 016B,13,9,7,11,16
E01002997,Kingston upon Thames 016C,7,2,6,7,4
E01002998,Kingston upon Thames 016D,24,8,16,22,19
E01002999,Kingston upon Thames 013E,21,20,15,21,12
E01003000,Kingston upon Thames 017C,17,26,33,20,28
E01003001,Kingston upon Thames 017D,12,8,15,8,14
E01003002,Kingston upon Thames 016E,29,28,32,18,34
E01003003,Kingston upon Thames 017E,39,46,53,69,38
E01003004,Kingston upon Thames 018D,19,20,22,12,9
E01003005,Kingston upon Thames 018E,6,8,9,10,8
E01003006,Kingston upon Thames 001A,6,6,7,5,12
E01003007,Kingston upon Thames 001B,9,14,6,8,8
E01003008,Kingston upon Thames 001C,2,7,6,4,7
E01003009,Kingston upon Thames 001D,12,10,14,9,15
E01003010,Kingston upon Thames 001E,10,10,12,11,9
E01003011,Kingston upon Thames 004E,15,11,9,8,13
E01003012,Lambeth 001A,163,161,145,128,144
E01003013,Lambeth 001B,210,171,180,209,167
E01003014,Lambeth 001C,58,55,48,52,48
E01003015,Lambeth 002A,25,34,34,23,26
E01003016,Lambeth 001D,34,32,29,31,33
E01003017,Lambeth 001E,49,65,63,60,37
E01003018,Lambeth 020A,94,66,54,44,51
E01003019,Lambeth 015A,26,24,20,15,25
E01003020,Lambeth 016A,84,66,63,55,48
E01003021,Lambeth 021A,48,56,59,42,52
E01003022,Lambeth 021B,11,16,16,20,26
E01003023,Lambeth 021C,82,69,65,54,52
E01003024,Lambeth 021D,55,46,52,28,51
E01003025,Lambeth 021E,49,39,50,34,22
E01003026,Lambeth 019A,16,20,29,21,17
E01003027,Lambeth 019B,10,5,8,1,4
E01003028,Lambeth 019C,10,10,13,13,21
E01003029,Lambeth 017A,22,18,18,21,17
E01003030,Lambeth 019D,16,26,29,29,17
E01003031,Lambeth 023A,22,22,21,14,11
E01003032,Lambeth 017B,58,69,81,59,59
E01003033,Lambeth 019E,18,12,17,14,19
E01003034,Lambeth 012A,33,30,27,22,20
E01003035,Lambeth 012B,119,107,154,143,106
E01003036,Lambeth 012C,29,31,30,21,35
E01003037,Lambeth 013A,62,62,56,31,38
E01003038,Lambeth 013B,23,31,24,23,11
E01003039,Lambeth 013C,54,34,46,49,48
E01003040,Lambeth 013D,12,10,11,10,8
E01003041,Lambeth 017C,74,107,112,68,52
E01003042,Lambeth 013E,23,45,26,25,16
E01003043,Lambeth 018A,20,24,12,28,33
E01003044,Lambeth 018B,27,23,26,16,25
E01003045,Lambeth 011A,57,57,49,42,51
E01003046,Lambeth 009A,52,50,52,33,33
E01003047,Lambeth 011B,323,306,275,295,265
E01003048,Lambeth 009B,66,46,49,63,38
E01003049,Lambeth 011C,39,25,30,35,35
E01003050,Lambeth 016B,64,38,40,42,26
E01003051,Lambeth 018C,66,77,77,96,83
E01003052,Lambeth 016C,85,80,62,78,76
E01003053,Lambeth 015B,32,27,35,16,29
E01003054,Lambeth 015C,29,32,27,34,34
E01003055,Lambeth 016D,100,142,116,116,107
E01003056,Lambeth 015D,12,25,16,23,40
E01003057,Lambeth 017D,41,42,49,33,34
E01003058,Lambeth 015E,36,33,18,35,35
E01003059,Lambeth 011D,44,63,56,47,41
E01003060,Lambeth 011E,40,38,50,38,36
E01003061,Lambeth 011F,115,144,137,109,111
E01003062,Lambeth 033A,38,86,77,56,37
E01003063,Lambeth 033B,33,53,44,36,26
E01003064,Lambeth 028A,14,17,4,12,15
E01003065,Lambeth 031A,20,36,34,46,53
E01003066,Lambeth 028B,51,40,59,61,49
E01003067,Lambeth 033C,29,31,36,17,20
E01003068,Lambeth 031B,32,29,22,36,39
E01003069,Lambeth 033D,31,29,32,25,34
E01003070,Lambeth 033E,34,35,30,28,28
E01003071,Lambeth 018D,24,25,26,21,22
E01003072,Lambeth 014A,5,18,17,7,11
E01003073,Lambeth 014B,40,34,36,35,37
E01003074,Lambeth 018E,68,64,58,58,56
E01003075,Lambeth 009C,40,45,51,50,37
E01003076,Lambeth 014C,121,134,124,99,96
E01003077,Lambeth 014D,34,41,49,28,27
E01003078,Lambeth 014E,17,24,13,8,9
E01003079,Lambeth 027A,75,49,42,50,60
E01003080,Lambeth 027B,24,21,32,16,23
E01003081,Lambeth 028C,78,54,50,41,47
E01003082,Lambeth 031C,48,24,34,27,27
E01003083,Lambeth 030A,12,12,13,9,20
E01003084,Lambeth 030B,29,31,22,24,9
E01003085,Lambeth 030C,17,19,19,14,20
E01003086,Lambeth 031D,50,44,53,39,37
E01003087,Lambeth 031E,63,56,61,40,41
E01003088,Lambeth 010A,36,24,28,30,18
E01003089,Lambeth 008A,53,50,62,53,49
E01003090,Lambeth 012D,62,46,51,77,65
E01003091,Lambeth 008B,26,26,25,31,9
E01003092,Lambeth 008C,32,45,55,30,34
E01003093,Lambeth 010B,40,55,62,63,56
E01003094,Lambeth 010C,15,15,13,19,19
E01003095,Lambeth 012E,16,10,22,23,15
E01003096,Lambeth 010D,67,74,135,110,94
E01003097,Lambeth 006A,39,18,41,35,27
E01003098,Lambeth 005A,13,15,26,31,31
E01003099,Lambeth 005B,61,71,58,45,62
E01003100,Lambeth 005C,66,61,44,43,40
E01003101,Lambeth 003A,38,30,39,35,39
E01003102,Lambeth 004A,41,66,77,66,94
E01003103,Lambeth 004B,71,78,96,124,113
E01003104,Lambeth 004C,30,30,37,18,25
E01003105,Lambeth 003B,25,34,26,35,22
E01003106,Lambeth 003C,43,42,29,36,50
E01003107,Lambeth 003D,44,45,35,29,30
E01003108,Lambeth 002B,32,22,49,30,45
E01003109,Lambeth 003E,92,123,117,138,125
E01003110,Lambeth 002C,32,22,44,33,36
E01003111,Lambeth 002D,25,15,31,34,28
E01003112,Lambeth 002E,57,44,40,29,26
E01003113,Lambeth 032A,39,36,49,37,47
E01003114,Lambeth 032B,44,46,42,45,30
E01003115,Lambeth 034A,38,43,36,42,31
E01003116,Lambeth 029A,27,10,9,15,9
E01003117,Lambeth 029B,56,78,52,49,50
E01003118,Lambeth 029C,65,68,73,68,63
E01003119,Lambeth 032C,56,55,73,58,37
E01003120,Lambeth 032D,118,110,129,90,90
E01003121,Lambeth 006B,19,23,33,22,28
E01003122,Lambeth 004D,27,36,39,35,34
E01003123,Lambeth 006C,20,27,25,24,36
E01003124,Lambeth 006D,25,27,28,21,33
E01003125,Lambeth 006E,20,42,39,37,24
E01003126,Lambeth 008D,56,36,55,37,29
E01003127,Lambeth 010E,43,51,65,37,34
E01003128,Lambeth 008E,60,54,52,47,55
E01003129,Lambeth 004E,42,41,46,33,34
E01003130,Lambeth 026A,39,36,26,30,27
E01003131,Lambeth 026B,31,33,27,24,36
E01003132,Lambeth 024A,20,27,28,23,29
E01003133,Lambeth 027C,44,31,29,37,39
E01003134,Lambeth 027D,11,24,16,13,23
E01003135,Lambeth 026C,33,34,27,33,28
E01003136,Lambeth 022A,17,26,23,22,17
E01003137,Lambeth 022B,38,34,38,34,37
E01003138,Lambeth 026D,13,6,8,9,9
E01003139,Lambeth 035A,26,28,21,13,23
E01003140,Lambeth 035B,10,7,15,13,9
E01003141,Lambeth 034B,42,17,23,32,37
E01003142,Lambeth 035C,8,23,10,18,11
E01003143,Lambeth 035D,19,25,23,31,7
E01003144,Lambeth 034C,32,17,32,40,30
E01003145,Lambeth 034D,39,31,38,34,30
E01003146,Lambeth 035E,36,38,30,22,19
E01003147,Lambeth 034E,33,42,42,31,22
E01003148,Lambeth 032E,24,21,12,24,18
E01003149,Lambeth 030D,22,14,18,21,10
E01003150,Lambeth 032F,42,27,37,28,48
E01003151,Lambeth 026E,33,40,35,31,25
E01003152,Lambeth 027E,39,19,31,23,27
E01003153,Lambeth 029D,55,69,57,39,70
E01003154,Lambeth 030E,39,35,31,30,36
E01003155,Lambeth 029E,32,33,27,26,26
E01003156,Lambeth 023B,9,9,21,22,19
