Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001616,Greenwich 030B,30,31,38,32,21
E01001617,Greenwich 028D,66,49,57,61,46
E01001618,Greenwich 030C,27,20,24,17,25
E01001619,Greenwich 030D,26,38,23,24,27
E01001620,Greenwich 025A,37,33,55,44,30
E01001621,Greenwich 025B,38,28,36,30,46
E01001622,Greenwich 024A,45,42,41,55,28
E01001623,Greenwich 025C,46,41,33,26,10
E01001624,Greenwich 025D,21,29,22,15,11
E01001625,Greenwich 025E,30,30,36,33,16
E01001626,Greenwich 024B,13,8,6,6,0
E01001627,Greenwich 024C,16,11,12,10,5
E01001628,Greenwich 024D,42,35,38,40,28
E01001629,Greenwich 009A,67,73,54,43,45
E01001630,Greenwich 007A,144,89,86,42,48
E01001631,Greenwich 007B,66,45,41,45,54
E01001632,Greenwich 007C,25,25,19,22,25
E01001633,Greenwich 009B,51,30,34,16,24
E01001634,Greenwich 009C,56,22,20,15,13
E01001635,Greenwich 007D,22,11,20,18,34
E01001636,Greenwich 007E,37,30,29,22,28
E01001637,Greenwich 009D,42,32,43,37,35
E01001638,Greenwich 018A,47,44,50,32,34
E01001639,Greenwich 018B,156,140,99,132,104
E01001640,Greenwich 018C,154,158,169,166,169
E01001641,Greenwich 018D,253,230,269,275,309
E01001642,Greenwich 018E,95,123,93,69,74
E01001643,Greenwich 018F,120,117,127,110,143
E01001644,Greenwich 018G,71,71,70,65,67
E01001645,Greenwich 022A,50,28,30,16,19
E01001646,Greenwich 019A,93,87,102,59,38
E01001647,Greenwich 022B,78,39,48,28,26
E01001648,Greenwich 022C,46,33,25,22,23
E01001649,Greenwich 022D,35,29,22,18,20
E01001650,Greenwich 019B,39,49,33,30,23
E01001651,Greenwich 019C,53,63,38,28,43
E01001652,Greenwich 019D,98,78,71,62,80
E01001653,Greenwich 029A,12,26,22,12,11
E01001654,Greenwich 029B,33,29,24,30,28
E01001655,Greenwich 029C,34,35,30,25,37
E01001656,Greenwich 026A,26,24,14,16,17
E01001657,Greenwich 026B,45,27,27,36,24
E01001658,Greenwich 026C,41,39,52,35,40
E01001659,Greenwich 026D,35,44,43,37,84
E01001660,Greenwich 029D,49,29,32,32,21
E01001661,Greenwich 029E,42,42,62,45,48
E01001662,Greenwich 010A,86,64,80,72,63
E01001663,Greenwich 010B,275,236,250,206,222
E01001664,Greenwich 010C,160,135,195,146,112
E01001665,Greenwich 010D,55,47,49,51,39
E01001666,Greenwich 010E,159,169,182,113,194
E01001667,Greenwich 010F,349,579,504,571,611
E01001668,Greenwich 010G,116,91,97,101,97
E01001669,Greenwich 013A,48,37,36,46,25
E01001670,Greenwich 013B,24,15,14,18,18
E01001671,Greenwich 013C,36,21,57,24,27
E01001672,Greenwich 006A,25,15,24,27,22
E01001673,Greenwich 006B,52,51,55,61,64
E01001674,Greenwich 006C,20,24,25,43,28
E01001675,Greenwich 006D,55,51,85,59,70
E01001676,Greenwich 013D,37,29,24,36,22
E01001677,Greenwich 006E,40,28,35,34,36
E01001678,Greenwich 017A,18,8,16,10,9
E01001679,Greenwich 020A,24,24,27,34,17
E01001680,Greenwich 020B,28,23,18,13,52
E01001681,Greenwich 020C,43,19,24,23,30
E01001682,Greenwich 020D,29,28,35,30,19
E01001683,Greenwich 017B,34,30,53,33,27
E01001684,Greenwich 017C,12,14,24,10,11
E01001685,Greenwich 017D,28,18,18,16,13
E01001686,Greenwich 020E,25,20,24,27,23
E01001687,Greenwich 002A,54,44,44,39,40
E01001688,Greenwich 002B,81,55,76,76,70
E01001689,Greenwich 002C,196,107,95,163,147
E01001690,Greenwich 001A,16,23,25,34,26
E01001691,Greenwich 002D,163,96,129,78,67
E01001692,Greenwich 001B,24,16,28,28,25
E01001693,Greenwich 001C,52,42,35,44,22
E01001694,Greenwich 001D,34,19,17,37,23
E01001695,Greenwich 011A,43,25,26,35,14
E01001696,Greenwich 011B,164,178,168,85,166
E01001697,Greenwich 011C,49,43,36,36,22
E01001698,Greenwich 015A,36,29,41,29,30
E01001699,Greenwich 015B,40,41,41,26,31
E01001700,Greenwich 011D,89,39,69,44,57
