Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01001169,Croydon 028B,35,33,22,27,32
E01001170,Croydon 027E,50,40,42,50,48
E01001171,Croydon 028C,41,39,48,36,53
E01001172,Croydon 028D,111,105,121,148,139
E01001173,Croydon 028E,39,49,51,53,33
E01001174,Croydon 011A,18,25,23,30,21
E01001175,Croydon 011B,39,25,52,35,27
E01001176,Croydon 011C,42,37,43,54,34
E01001177,Croydon 016C,71,73,65,83,124
E01001178,Croydon 015D,87,98,82,137,111
E01001179,Croydon 016D,25,16,41,35,27
E01001180,Croydon 016E,43,44,42,43,41
E01001181,Croydon 015E,81,54,62,49,51
E01001182,Croydon 011D,34,29,28,27,40
E01001183,Croydon 011E,48,57,63,67,142
E01001184,Croydon 011F,19,18,10,12,23
E01001185,Croydon 014B,30,39,33,42,26
E01001186,Croydon 014C,38,43,36,33,40
E01001187,Croydon 017E,35,38,32,36,31
E01001188,Croydon 014D,24,36,37,31,32
E01001189,Croydon 012C,14,18,15,12,17
E01001190,Croydon 012D,25,24,16,24,21
E01001191,Croydon 008D,49,95,87,76,114
E01001192,Croydon 008E,30,31,38,40,52
E01001193,Croydon 014E,18,19,21,17,20
E01001194,Croydon 012E,34,28,27,25,37
E01001195,Ealing 021A,24,44,32,28,35
E01001196,Ealing 015A,54,50,48,31,44
E01001197,Ealing 021B,30,35,43,34,32
E01001198,Ealing 021C,24,30,32,32,14
E01001199,Ealing 021D,30,33,45,32,36
E01001200,Ealing 025A,48,42,60,50,52
E01001201,Ealing 025B,44,32,60,26,35
E01001202,Ealing 025C,179,244,279,235,229
E01001203,Ealing 025D,52,42,59,46,64
E01001204,Ealing 018A,29,24,38,19,32
E01001205,Ealing 018B,34,32,37,19,26
E01001206,Ealing 018C,20,32,33,30,15
E01001207,Ealing 018D,41,41,50,32,28
E01001208,Ealing 018E,20,31,48,19,35
E01001209,Ealing 013A,39,66,75,46,43
E01001210,Ealing 016A,41,51,44,56,67
E01001211,Ealing 013B,24,24,27,22,20
E01001212,Ealing 018F,22,24,25,25,29
E01001213,Ealing 023A,28,17,40,40,21
E01001214,Ealing 023B,26,36,29,20,20
E01001215,Ealing 023C,57,59,54,69,50
E01001216,Ealing 023D,32,34,30,32,10
E01001217,Ealing 014A,27,28,35,19,21
E01001218,Ealing 012A,36,27,44,31,31
E01001219,Ealing 029A,21,19,15,22,18
E01001220,Ealing 029B,44,44,35,25,25
E01001221,Ealing 020A,766,762,630,727,801
E01001222,Ealing 019A,88,90,114,103,135
E01001223,Ealing 020B,24,17,21,29,16
E01001224,Ealing 019B,36,37,42,36,24
E01001225,Ealing 020C,169,175,177,198,213
E01001226,Ealing 019C,35,33,26,15,22
E01001227,Ealing 019D,24,29,31,19,21
E01001228,Ealing 019E,49,40,56,43,45
E01001229,Ealing 031A,19,13,30,32,18
E01001230,Ealing 031B,46,45,80,75,34
E01001231,Ealing 027A,48,52,39,98,105
E01001232,Ealing 031C,23,18,24,18,17
E01001233,Ealing 031D,37,39,62,67,79
E01001234,Ealing 027B,56,78,68,57,50
E01001235,Ealing 020D,60,61,67,56,58
E01001236,Ealing 020E,17,28,28,26,19
E01001237,Ealing 031E,38,45,44,49,29
E01001238,Ealing 015B,70,98,112,80,88
E01001239,Ealing 015C,38,53,70,50,43
E01001240,Ealing 024A,64,35,46,49,48
E01001241,Ealing 024B,80,71,75,70,66
E01001242,Ealing 024C,33,40,25,32,61
E01001243,Ealing 024D,55,71,63,66,87
E01001244,Ealing 024E,43,64,54,50,51
E01001245,Ealing 024F,54,88,102,117,133
E01001246,Ealing 015D,120,118,182,167,119
E01001247,Ealing 015E,284,353,487,466,408
E01001248,Ealing 035A,31,38,49,40,41
E01001249,Ealing 028A,135,128,177,183,174
E01001250,Ealing 028B,51,63,63,42,47
E01001251,Ealing 030A,34,42,69,31,35
E01001252,Ealing 030B,78,66,117,113,74
E01001253,Ealing 030C,39,43,46,27,34
E01001254,Ealing 030D,35,33,69,32,35
E01001255,Ealing 028C,21,27,28,24,22
E01001256,Ealing 010A,89,95,97,97,115
E01001257,Ealing 008A,17,30,32,52,26
E01001258,Ealing 010B,33,36,34,33,29
E01001259,Ealing 014B,34,51,68,39,39
E01001260,Ealing 012B,40,46,38,36,39
E01001261,Ealing 012C,160,186,179,213,212
E01001262,Ealing 010C,26,44,56,40,28
E01001263,Ealing 010D,25,44,53,41,24
E01001264,Ealing 010E,19,38,44,33,32
E01001265,Ealing 006A,53,29,45,33,39
E01001266,Ealing 006B,87,78,70,111,123
E01001267,Ealing 006C,51,86,65,81,53
E01001268,Ealing 012D,29,36,28,37,22
E01001269,Ealing 001A,34,42,42,35,54
E01001270,Ealing 004A,25,30,35,23,33
E01001271,Ealing 001B,43,21,49,47,30
E01001272,Ealing 006D,38,36,60,52,50
E01001273,Ealing 020F,36,61,40,48,47
E01001274,Ealing 020G,14,18,18,16,20
E01001275,Ealing 020H,22,30,22,36,29
E01001276,Ealing 011A,62,65,79,102,83
E01001277,Ealing 011B,85,100,85,77,78
E01001278,Ealing 011C,76,70,69,73,80
E01001279,Ealing 013C,23,43,28,28,12
E01001280,Ealing 011D,22,23,24,24,31
E01001281,Ealing 013D,27,36,32,27,26
E01001282,Ealing 016B,14,26,24,22,15
E01001283,Ealing 016C,20,30,40,27,33
E01001284,Ealing 022A,17,34,32,33,19
E01001285,Ealing 016D,32,15,21,40,41
E01001286,Ealing 016E,19,25,25,31,18
E01001287,Ealing 016F,11,18,28,12,23
E01001288,Ealing 022B,32,29,36,37,32
E01001289,Ealing 022C,7,16,22,19,14
E01001290,Ealing 022D,40,54,67,58,35
E01001291,Ealing 014C,23,31,30,23,24
E01001292,Ealing 014D,27,39,35,43,19
E01001293,Ealing 014E,21,25,19,27,17
E01001294,Ealing 017A,34,27,40,23,22
E01001295,Ealing 017B,15,16,25,28,16
E01001296,Ealing 017C,27,15,15,18,11
E01001297,Ealing 017D,21,23,34,35,25
E01001298,Ealing 017E,19,27,30,28,26
E01001299,Ealing 035B,29,30,30,46,37
E01001300,Ealing 039A,26,16,45,26,24
E01001301,Ealing 039B,48,53,58,57,45
E01001302,Ealing 039C,21,25,36,30,30
E01001303,Ealing 032A,46,31,51,48,54
E01001304,Ealing 039D,22,37,40,22,22
E01001305,Ealing 035C,13,25,28,27,9
E01001306,Ealing 035D,29,22,41,21,31
E01001307,Ealing 002A,28,27,39,45,41
E01001308,Ealing 002B,25,41,17,26,21
E01001309,Ealing 001C,26,34,25,23,27
E01001310,Ealing 001D,56,67,76,79,88
E01001311,Ealing 001E,35,33,34,24,33
E01001312,Ealing 002C,30,27,33,54,43
E01001313,Ealing 002D,10,18,17,18,17
E01001314,Ealing 002E,23,15,19,22,26
E01001315,Ealing 003A,17,25,20,17,21
E01001316,Ealing 003B,31,29,27,26,30
E01001317,Ealing 003C,28,36,37,44,29
E01001318,Ealing 003D,29,39,44,39,28
E01001319,Ealing 004B,13,20,25,10,15
E01001320,Ealing 003E,27,12,30,15,32
E01001321,Ealing 003F,32,28,25,22,20
E01001322,Ealing 004C,57,68,84,100,63
E01001323,Ealing 004D,106,116,115,87,78
E01001324,Ealing 008B,18,36,60,30,23
E01001325,Ealing 009A,27,18,34,41,22
E01001326,Ealing 008C,51,60,57,67,53
E01001327,Ealing 009B,88,85,118,107,78
E01001328,Ealing 009C,39,71,91,111,66
E01001329,Ealing 009D,21,21,38,44,26
E01001330,Ealing 008D,34,39,54,147,37
E01001331,Ealing 009E,29,34,49,46,33
E01001332,Ealing 008E,26,30,35,43,20
E01001333,Ealing 038A,84,69,67,88,62
E01001334,Ealing 029C,55,37,26,34,30
E01001335,Ealing 038B,30,33,42,49,28
E01001336,Ealing 038C,37,42,39,40,24
E01001337,Ealing 029D,101,98,99,89,97
E01001338,Ealing 029E,102,86,78,81,59
E01001339,Ealing 029F,61,38,55,78,86
E01001340,Ealing 029G,31,40,40,33,35
E01001341,Ealing 005A,31,27,37,32,25
E01001342,Ealing 005B,22,14,18,23,30
E01001343,Ealing 005C,29,29,37,21,30
E01001344,Ealing 007A,60,40,72,54,71
E01001345,Ealing 005D,21,23,33,30,36
E01001346,Ealing 007B,22,24,22,18,27
E01001347,Ealing 007C,79,91,169,173,140
E01001348,Ealing 007D,58,68,87,103,166
E01001349,Ealing 006E,28,33,37,29,39
E01001350,Ealing 027C,30,25,21,30,33
E01001351,Ealing 025E,173,133,206,117,133
E01001352,Ealing 027D,49,42,35,59,56
E01001353,Ealing 033A,22,37,41,42,41
E01001354,Ealing 027E,70,71,67,58,91
E01001355,Ealing 033B,92,69,95,61,56
E01001356,Ealing 033C,21,30,25,23,22
E01001357,Ealing 033D,22,34,18,16,17
E01001358,Ealing 033E,48,38,54,51,39
E01001359,Ealing 026A,55,51,62,68,69
E01001360,Ealing 026B,27,27,34,78,28
E01001361,Ealing 023E,358,349,362,448,337
E01001362,Ealing 026C,44,56,46,54,49
E01001363,Ealing 026D,24,26,29,24,25
E01001364,Ealing 026E,23,18,32,21,23
E01001365,Ealing 026F,55,49,43,41,71
E01001366,Ealing 037A,29,25,27,24,19
E01001367,Ealing 037B,101,76,122,107,94
E01001368,Ealing 037C,14,15,29,20,18
E01001369,Ealing 038D,58,46,56,49,33
E01001370,Ealing 037D,36,58,41,40,47
E01001371,Ealing 037E,39,34,19,38,38
E01001372,Ealing 037F,35,39,24,27,22
E01001373,Ealing 037G,17,23,36,30,23
E01001374,Ealing 036A,44,42,39,44,35
E01001375,Ealing 034A,46,45,63,47,74
E01001376,Ealing 036B,40,61,38,36,42
E01001377,Ealing 034B,36,40,53,59,74
E01001378,Ealing 036C,30,49,42,73,79
E01001379,Ealing 034C,35,29,35,39,54
E01001380,Ealing 036D,33,38,49,40,46
E01001381,Ealing 034D,106,93,96,98,104
E01001382,Ealing 032B,25,19,33,25,28
E01001383,Ealing 028D,31,26,35,27,23
E01001384,Ealing 032C,28,32,33,36,37
E01001385,Ealing 032D,30,33,32,31,30
E01001386,Ealing 031F,50,57,74,66,45
E01001387,Ealing 032E,107,99,89,81,56
E01001388,Ealing 028E,89,90,103,88,74
E01001389,Ealing 028F,143,121,171,137,146
E01001390,Enfield 036A,42,34,40,50,34
E01001391,Enfield 036B,34,20,34,33,36
E01001392,Enfield 032A,38,34,51,47,26
E01001393,Enfield 036C,36,28,45,22,26
E01001394,Enfield 035A,45,47,50,35,37
E01001395,Enfield 035B,27,19,20,24,26
E01001396,Enfield 036D,34,35,43,38,40
E01001397,Enfield 035C,34,32,33,25,29
E01001398,Enfield 021A,20,18,14,27,21
E01001399,Enfield 021B,19,20,23,35,21
E01001400,Enfield 021C,28,24,35,37,22
E01001401,Enfield 016A,15,32,18,20,31
E01001402,Enfield 021D,34,33,45,52,47
E01001403,Enfield 021E,22,16,28,29,18
E01001404,Enfield 026A,16,19,19,28,26
E01001405,Enfield 015A,28,23,24,34,19
E01001406,Enfield 015B,36,31,28,42,43
E01001407,Enfield 005A,46,25,22,33,31
E01001408,Enfield 004A,36,25,19,15,19
E01001409,Enfield 005B,40,34,32,36,30
E01001410,Enfield 005C,28,30,18,17,28
E01001411,Enfield 004B,45,72,49,34,39
E01001412,Enfield 004C,76,65,94,87,87
E01001413,Enfield 004D,29,11,19,16,17
E01001414,Enfield 004E,20,15,7,15,18
E01001415,Enfield 011A,69,68,71,69,52
E01001416,Enfield 013A,13,18,20,33,16
E01001417,Enfield 011B,35,24,34,41,21
E01001418,Enfield 011C,22,22,24,27,23
E01001419,Enfield 020A,43,35,42,53,50
E01001420,Enfield 020B,15,12,16,25,19
E01001421,Enfield 020C,15,14,13,17,20
E01001422,Enfield 011D,13,19,23,24,19
E01001423,Enfield 027A,47,25,21,28,34
E01001424,Enfield 030A,22,19,20,20,14
E01001425,Enfield 027B,81,78,69,66,75
E01001426,Enfield 030B,44,41,36,60,58
E01001427,Enfield 030C,162,158,138,109,112
E01001428,Enfield 027C,44,21,44,35,39
E01001429,Enfield 030D,156,162,205,260,282
E01001430,Enfield 030E,74,50,37,51,65
E01001431,Enfield 033A,36,41,25,34,34
E01001432,Enfield 033B,76,47,66,62,51
E01001433,Enfield 007A,27,28,41,44,39
E01001434,Enfield 007B,20,14,20,10,31
E01001435,Enfield 007C,19,13,9,26,22
E01001436,Enfield 007D,29,24,32,30,32
E01001437,Enfield 014A,157,122,187,122,139
E01001438,Enfield 007E,40,30,30,31,41
E01001439,Enfield 006A,84,81,95,97,92
E01001440,Enfield 012A,32,30,44,42,39
E01001441,Enfield 006B,51,49,44,48,56
E01001442,Enfield 002A,32,29,36,38,35
E01001443,Enfield 003A,49,46,34,41,47
E01001444,Enfield 001A,35,24,12,14,18
E01001445,Enfield 003B,69,64,82,93,90
E01001446,Enfield 001B,20,28,24,26,25
E01001447,Enfield 003C,30,26,21,37,34
E01001448,Enfield 003D,35,20,29,32,27
E01001449,Enfield 003E,15,17,27,16,17
E01001450,Enfield 015C,262,276,227,203,243
E01001451,Enfield 017A,78,76,65,69,74
E01001452,Enfield 017B,18,11,15,32,15
E01001453,Enfield 017C,14,18,14,22,18
E01001454,Enfield 017D,15,18,9,25,18
E01001455,Enfield 021F,14,15,15,34,22
E01001456,Enfield 022A,12,4,19,23,23
E01001457,Enfield 010A,20,27,19,50,23
E01001458,Enfield 034A,40,46,41,44,34
E01001459,Enfield 024A,22,23,22,28,30
E01001460,Enfield 024B,27,27,37,34,33
E01001461,Enfield 027D,32,36,44,35,48
E01001462,Enfield 024C,33,19,22,22,15
E01001463,Enfield 031A,10,9,11,14,17
E01001464,Enfield 027E,23,18,20,20,24
E01001465,Enfield 031B,47,25,41,49,42
E01001466,Enfield 031C,24,27,24,39,30
E01001467,Enfield 031D,20,17,12,21,33
E01001468,Enfield 010B,25,30,28,48,42
E01001469,Enfield 008A,14,21,12,17,12
E01001470,Enfield 013B,14,12,4,21,17
E01001471,Enfield 010C,19,24,20,19,25
E01001472,Enfield 010D,29,19,20,27,19
E01001473,Enfield 013C,18,20,9,17,15
E01001474,Enfield 010E,21,10,19,26,10
E01001475,Enfield 013D,13,11,18,22,8
E01001476,Enfield 018A,23,29,34,17,39
E01001477,Enfield 018B,50,28,40,35,48
E01001478,Enfield 016B,12,17,19,23,27
E01001479,Enfield 023A,33,52,33,48,32
E01001480,Enfield 024D,20,25,15,17,28
E01001481,Enfield 018C,19,25,25,23,18
E01001482,Enfield 023B,23,13,10,25,24
E01001483,Enfield 025A,25,37,28,29,36
E01001484,Enfield 016C,28,21,17,20,31
E01001485,Enfield 025B,52,52,41,55,53
E01001486,Enfield 025C,40,54,70,50,38
E01001487,Enfield 023C,43,31,39,34,42
E01001488,Enfield 024E,27,29,33,38,31
E01001489,Enfield 023D,42,33,30,42,29
E01001490,Enfield 025D,58,69,52,58,81
E01001491,Enfield 023E,44,38,46,49,50
E01001492,Enfield 025E,34,34,43,35,36
E01001493,Enfield 026B,24,16,14,27,25
E01001494,Enfield 026C,22,18,17,23,27
E01001495,Enfield 029A,41,33,35,50,39
E01001496,Enfield 026D,21,23,21,25,22
E01001497,Enfield 031E,24,19,11,35,18
E01001498,Enfield 029B,129,117,105,116,144
E01001499,Enfield 031F,37,38,23,41,32
E01001500,Enfield 035D,37,41,34,31,29
E01001501,Enfield 036E,75,82,115,105,131
E01001502,Enfield 018D,42,28,45,39,52
E01001503,Enfield 018E,46,27,52,36,31
E01001504,Enfield 012B,40,37,23,25,24
E01001505,Enfield 012C,39,34,26,37,47
E01001506,Enfield 014B,65,66,90,69,109
E01001507,Enfield 012D,148,104,124,127,113
E01001508,Enfield 012E,48,25,30,41,43
E01001509,Enfield 014C,53,21,43,40,24
E01001510,Enfield 014D,41,22,16,39,33
E01001511,Enfield 016D,72,73,84,92,121
E01001512,Enfield 015D,53,53,48,51,73
E01001513,Enfield 012F,163,203,210,207,230
E01001514,Enfield 016E,31,29,20,35,19
E01001515,Enfield 015E,37,35,32,32,33
E01001516,Enfield 005D,48,44,47,43,70
E01001517,Enfield 006C,33,27,28,38,39
E01001518,Enfield 016F,66,57,66,68,63
E01001519,Enfield 020D,172,169,176,130,163
E01001520,Enfield 019A,20,23,29,29,22
E01001521,Enfield 028A,17,18,17,27,27
E01001522,Enfield 019B,19,19,22,16,34
E01001523,Enfield 019C,21,21,21,18,16
E01001524,Enfield 019D,15,11,9,11,12
E01001525,Enfield 020E,30,18,20,18,14
E01001526,Enfield 019E,13,10,16,20,11
E01001527,Enfield 036F,30,38,30,28,34
E01001528,Enfield 032B,36,39,38,42,29
E01001529,Enfield 032C,34,48,38,35,22
E01001530,Enfield 032D,30,31,19,27,26
E01001531,Enfield 028B,21,17,18,29,22
E01001532,Enfield 028C,39,33,19,47,52
E01001533,Enfield 028D,23,21,22,27,27
E01001534,Enfield 032E,29,33,28,62,46
E01001535,Enfield 028E,26,26,20,25,39
E01001536,Enfield 008B,94,104,82,93,74
E01001537,Enfield 005E,33,19,19,21,17
E01001538,Enfield 009A,10,24,25,19,22
E01001539,Enfield 009B,14,14,21,26,17
E01001540,Enfield 008C,36,48,47,40,33
E01001541,Enfield 008D,27,29,5,25,11
E01001542,Enfield 008E,15,30,15,27,20
E01001543,Enfield 009C,15,15,15,13,7
E01001544,Enfield 009D,18,37,28,32,32
E01001545,Enfield 002B,25,30,42,19,24
E01001546,Enfield 001C,18,22,20,18,36
E01001547,Enfield 002C,70,48,50,42,59
E01001548,Enfield 002D,40,35,38,41,28
E01001549,Enfield 006D,46,40,49,42,54
E01001550,Enfield 006E,25,17,22,24,26
E01001551,Enfield 002E,53,48,33,38,71
E01001552,Enfield 001D,50,32,57,55,54
E01001553,Enfield 034B,35,23,23,23,36
E01001554,Enfield 034C,70,69,52,34,64
E01001555,Enfield 033C,69,55,92,95,100
E01001556,Enfield 035E,23,26,19,21,27
E01001557,Enfield 033D,18,11,18,24,15
E01001558,Enfield 033E,146,109,116,145,158
E01001559,Enfield 033F,294,255,339,263,308
E01001560,Enfield 035F,32,22,34,35,50
E01001561,Enfield 034D,195,148,157,153,122
E01001562,Enfield 034E,45,22,24,26,35
E01001563,Enfield 029C,22,28,27,36,38
E01001564,Enfield 022B,33,27,31,42,29
E01001565,Enfield 029D,32,20,15,37,27
E01001566,Enfield 029E,21,26,22,26,36
E01001567,Enfield 022C,14,22,15,15,26
E01001568,Enfield 022D,20,10,28,38,36
E01001569,Enfield 022E,49,44,33,52,43
E01001570,Enfield 026E,63,47,55,71,66
E01001571,Greenwich 008A,74,49,29,45,37
E01001572,Greenwich 008B,53,36,21,15,9
E01001573,Greenwich 008C,23,27,11,20,18
E01001574,Greenwich 008D,52,55,31,32,23
E01001575,Greenwich 003A,59,54,37,51,39
E01001576,Greenwich 003B,58,39,43,35,26
E01001577,Greenwich 003C,58,41,38,31,33
E01001578,Greenwich 003D,83,58,34,34,69
E01001579,Greenwich 003E,40,40,28,31,35
E01001580,Greenwich 021A,94,82,82,104,105
E01001581,Greenwich 016A,63,81,60,43,30
E01001582,Greenwich 021B,39,39,44,36,46
E01001583,Greenwich 021C,69,71,55,46,30
E01001584,Greenwich 021D,61,54,63,43,33
E01001585,Greenwich 016B,47,45,48,48,28
E01001586,Greenwich 016C,34,39,35,38,31
E01001587,Greenwich 016D,63,43,45,47,47
E01001588,Greenwich 012A,34,34,38,28,35
E01001589,Greenwich 012B,56,44,47,39,40
E01001590,Greenwich 014A,36,37,32,23,40
E01001591,Greenwich 012C,63,50,54,45,47
E01001592,Greenwich 014B,37,38,34,32,35
E01001593,Greenwich 014C,32,48,53,25,27
E01001594,Greenwich 014D,25,28,25,26,30
E01001595,Greenwich 012D,43,34,26,29,33
E01001596,Greenwich 032A,12,15,25,16,11
E01001597,Greenwich 031A,34,33,37,38,37
E01001598,Greenwich 031B,24,32,43,33,37
E01001599,Greenwich 032B,32,30,24,37,54
E01001600,Greenwich 032C,34,28,21,24,31
E01001601,Greenwich 032D,31,11,12,17,30
E01001602,Greenwich 031C,32,28,32,27,37
E01001603,Greenwich 031D,24,23,27,28,24
E01001604,Greenwich 027A,36,31,40,29,44
E01001605,Greenwich 023A,27,23,24,24,26
E01001606,Greenwich 023B,29,14,16,9,18
E01001607,Greenwich 027B,36,20,22,17,23
E01001608,Greenwich 027C,39,46,54,57,44
E01001609,Greenwich 027D,172,192,133,155,169
E01001610,Greenwich 023C,32,18,20,26,21
E01001611,Greenwich 023D,29,22,21,16,11
E01001612,Greenwich 030A,30,16,28,31,33
E01001613,Greenwich 028A,45,52,77,45,40
E01001614,Greenwich 028B,45,44,84,56,64
E01001615,Greenwich 028C,320,294,272,248,206
